Framework,Scenario,Batch,Retry,Requests,Connections,Duration,RequestsPerSec,LatencyMean,LatencyP50,LatencyP90,LatencyP99,MaxLatency,TransferRate,Errors,Non2XX,Timestamp
Fiber v3,JSON Binding,1,0,0,256,10.190165542s,240999.20,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:06:59+03:00
Fiber v3,Simple Ping/Pong,1,0,0,256,10.126686458s,303030.48,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:07:12+03:00
Fiber v3,Middleware Chain,1,0,0,256,10.115589791s,282416.67,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:07:26+03:00
Fiber v3,Route Groups,1,0,0,256,10.071432625s,293635.12,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:07:39+03:00
Fiber v3,Single Middleware,1,0,0,256,10.117031708s,283457.76,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:07:49+03:00
Fiber v3,Wildcard Routing,1,0,0,256,10.113498917s,284418.46,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:07:59+03:00
Fiber v3,Request Context,1,0,0,256,10.113837458s,284704.69,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:08:12+03:00
Fiber v3,URL Path Parameter,1,0,0,256,10.115835708s,289273.55,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:08:22+03:00
Fiber v3,Deep Route Groups,1,0,0,256,10.120639583s,292411.82,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:08:32+03:00
Echo,Single Middleware,1,0,0,256,10.043948166s,208281.16,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:08:42+03:00
Echo,Wildcard Routing,1,0,0,256,10.116226083s,212275.62,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:08:53+03:00
Echo,JSON Binding,1,0,0,256,10.1352095s,196234.32,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:03+03:00
Echo,Simple Ping/Pong,1,0,0,256,10.117382625s,219567.06,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:13+03:00
Echo,Middleware Chain,1,0,0,256,10.118209041s,220603.13,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:23+03:00
Echo,Route Groups,1,0,0,256,10.032914834s,214485.41,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:33+03:00
Echo,Deep Route Groups,1,0,0,256,10.03281575s,214401.77,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:43+03:00
Echo,Request Context,1,0,0,256,10.118425291s,222594.32,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:09:53+03:00
Echo,URL Path Parameter,1,0,0,256,10.118873542s,231229.72,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:10:03+03:00
Fiber,Middleware Chain,1,0,0,256,10.118500875s,286426.94,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:10:13+03:00
Fiber,Route Groups,1,0,0,256,10.113459708s,280867.11,0s,0s,0s,0s,0s,0.00,0,0,2025-08-26T22:10:24+03:00
