scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
context,1,flash,270340.98,1.53,0.652,4.07,10.21,52009
context,2,flash,266680.81,1.63,0.652,4.29,11.25,51302.4
context,3,flash,256533.93,1.74,0.684,4.54,12.92,49356.8
context,4,flash,263581.77,1.62,0.667,4.32,10.89,50708.5
context,5,flash,267470.69,1.55,0.655,4.13,10.24,51456
context,6,flash,269941.59,1.59,0.629,4.25,10.68,51927
context,7,flash,269082.32,1.55,0.661,4.13,10.29,51763.2
context,8,flash,269186.55,1.56,0.657,4.15,10.60,51783.7
context,9,flash,266890.44,1.56,0.663,4.14,10.49,51343.4
context,10,flash,269715.82,1.57,0.649,4.20,10.50,51886.1
context,1,gin,250919.61,1.71,0.612,4.79,10.70,36751.4
context,2,gin,246285.32,1.72,0.611,4.88,10.50,36075.5
context,3,gin,248329.72,1.70,0.612,4.81,10.50,36372.5
context,4,gin,244169.19,1.69,0.625,4.75,10.25,35768.3
context,5,gin,239405.70,1.87,0.645,5.11,12.93,35072
context,6,gin,247966.25,1.74,0.607,4.88,10.93,36321.3
context,7,gin,248155.43,1.74,0.597,4.93,10.93,36352
context,8,gin,240982.97,1.77,0.61,4.92,10.76,35297.3
context,9,gin,246653.81,1.71,0.605,4.85,10.69,36126.7
context,10,gin,244211.84,1.79,0.63,4.90,11.75,35768.3
context,1,gofiber,211590.32,3.05,0.542,6.53,46.63,30996.5
context,2,gofiber,210634.42,3.31,0.551,6.78,53.99,30853.1
context,3,gofiber,210138.44,2.79,0.56,5.85,41.91,30781.4
context,4,gofiber,209375.11,2.92,0.566,6.04,44.03,30668.8
context,5,gofiber,210503.77,3.08,0.558,6.31,48.03,30832.6
context,6,gofiber,210092.90,4.99,0.552,8.40,95.19,30771.2
context,7,gofiber,211683.08,3.10,0.551,6.53,47.02,31006.7
context,8,gofiber,209832.57,3.07,0.574,6.19,47.72,30740.5
context,9,gofiber,210188.92,3.16,0.561,6.42,48.22,30791.7
context,10,gofiber,211079.02,3.01,0.565,6.17,46.20,30924.8
