scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
deepgroups,1,flash,265453.10,1.72,0.583,4.80,11.17,31109.1
deepgroups,2,flash,261168.96,1.75,0.616,4.86,11.96,30607.4
deepgroups,3,flash,260413.15,1.71,0.623,4.76,11.38,30515.2
deepgroups,4,flash,249353.08,1.81,0.649,5.01,12.39,29225
deepgroups,5,flash,257043.17,1.75,0.598,4.91,11.48,30126.1
deepgroups,6,flash,254510.90,1.79,0.595,4.96,11.98,29829.1
deepgroups,7,flash,257940.36,1.75,0.605,4.91,11.44,30228.5
deepgroups,8,flash,251004.07,1.78,0.64,4.92,11.89,29419.5
deepgroups,9,flash,250249.89,1.78,0.628,4.92,11.65,29327.4
deepgroups,10,flash,252016.42,1.73,0.607,4.86,11.15,29532.2
deepgroups,1,gin,238541.06,1.84,0.562,5.46,11.52,27955.2
deepgroups,2,gin,238648.42,1.81,0.571,5.37,10.82,27965.4
deepgroups,3,gin,239629.86,1.84,0.569,5.42,11.50,28078.1
deepgroups,4,gin,240361.80,1.81,0.56,5.37,11.01,28170.2
deepgroups,5,gin,236775.98,2.00,0.58,5.73,13.86,27750.4
deepgroups,6,gin,244674.33,1.83,0.564,5.40,11.40,28672
deepgroups,7,gin,241799.72,1.80,0.578,5.34,10.99,28334.1
deepgroups,8,gin,244567.60,1.85,0.567,5.41,11.66,28661.8
deepgroups,9,gin,239161.95,1.85,0.569,5.40,11.48,28026.9
deepgroups,10,gin,243224.41,1.79,0.562,5.31,10.83,28497.9
deepgroups,1,gofiber,211511.35,3.01,0.541,6.55,45.16,24791
deepgroups,2,gofiber,210983.41,3.22,0.537,6.84,49.53,24729.6
deepgroups,3,gofiber,212143.51,3.16,0.53,6.87,48.43,24862.7
deepgroups,4,gofiber,211970.38,3.05,0.53,6.77,45.67,24842.2
deepgroups,5,gofiber,210027.08,2.98,0.542,6.29,45.42,24617
deepgroups,6,gofiber,211896.45,5.59,0.523,8.90,110.26,24832
deepgroups,7,gofiber,212012.29,3.06,0.535,6.70,46.23,24842.2
deepgroups,8,gofiber,211954.93,3.09,0.535,6.71,47.35,24842.2
deepgroups,9,gofiber,211515.46,3.00,0.537,6.56,45.65,24791
deepgroups,10,gofiber,211469.53,3.15,0.536,6.84,47.28,24780.8
