scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
groups,1,flash,244251.16,1.95,0.651,5.20,14.54,28620.8
groups,2,flash,243231.90,1.73,0.593,4.95,10.52,28508.2
groups,3,flash,245954.40,1.72,0.6,4.88,10.78,28825.6
groups,4,flash,245206.43,1.72,0.603,4.89,10.44,28733.4
groups,5,flash,243512.60,1.73,0.594,4.94,10.44,28538.9
groups,6,flash,246395.13,1.71,0.601,4.86,10.53,28876.8
groups,7,flash,247267.59,1.70,0.624,4.79,10.56,28979.2
groups,8,flash,246347.99,1.70,0.597,4.85,10.11,28866.6
groups,9,flash,242950.67,1.83,0.607,5.10,12.33,28467.2
groups,10,flash,246978.13,1.73,0.586,4.92,10.63,28938.2
groups,1,gin,235575.12,1.81,0.581,5.37,10.64,27607
groups,2,gin,235020.42,1.80,0.558,5.37,10.51,27545.6
groups,3,gin,236100.81,1.80,0.561,5.38,10.49,27668.5
groups,4,gin,233891.83,1.81,0.571,5.42,10.57,27412.5
groups,5,gin,235471.57,1.82,0.565,5.45,10.80,27596.8
groups,6,gin,239637.34,1.85,0.597,5.45,11.55,28078.1
groups,7,gin,240311.45,1.98,0.578,5.73,13.54,28160
groups,8,gin,234808.58,1.83,0.575,5.49,10.69,27514.9
groups,9,gin,233189.18,2.03,0.573,5.77,13.68,27330.6
groups,10,gin,236185.25,1.85,0.572,5.51,11.25,27678.7
groups,1,gofiber,210889.81,3.04,0.554,6.28,47.55,24709.1
groups,2,gofiber,212144.25,3.44,0.539,7.38,54.98,24862.7
groups,3,gofiber,210651.81,2.98,0.557,6.15,45.88,24688.6
groups,4,gofiber,211394.16,3.00,0.553,6.06,46.66,24770.6
groups,5,gofiber,211497.36,3.25,0.555,6.99,49.98,24780.8
groups,6,gofiber,213016.32,4.15,0.522,8.57,70.45,24965.1
groups,7,gofiber,211486.18,4.16,0.528,8.40,72.89,24780.8
groups,8,gofiber,210833.18,2.91,0.551,6.12,44.62,24709.1
groups,9,gofiber,211156.60,2.98,0.552,6.16,46.08,24739.8
groups,10,gofiber,210830.24,5.33,0.54,8.53,106.33,24709.1
