scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
json,1,flash,249504.96,1.86,0.734,4.98,13.72,28753.9
json,2,flash,247723.81,1.93,0.729,5.21,14.41,28549.1
json,3,flash,247397.75,1.91,0.738,5.09,14.36,28508.2
json,4,flash,248117.14,1.92,0.731,5.18,14.18,28590.1
json,5,flash,249002.04,1.87,0.729,5.04,13.72,28692.5
json,6,flash,248246.10,1.96,0.72,5.36,14.34,28610.6
json,7,flash,248459.12,1.91,0.745,5.08,14.41,28631
json,8,flash,250003.56,1.84,0.735,4.90,13.52,28805.1
json,9,flash,248273.44,1.93,0.742,5.18,14.54,28610.6
json,10,flash,248399.04,1.95,0.727,5.37,14.43,28620.8
json,1,gin,249829.72,2.01,0.724,5.42,15.61,28784.6
json,2,gin,249452.27,1.94,0.723,5.21,14.76,28743.7
json,3,gin,250263.19,1.95,0.723,5.27,14.99,28835.8
json,4,gin,251462.17,1.98,0.725,5.41,15.17,28979.2
json,5,gin,252061.61,1.96,0.719,5.33,14.91,29050.9
json,6,gin,250831.44,1.99,0.712,5.48,15.06,28907.5
json,7,gin,250572.24,1.98,0.717,5.40,15.18,28876.8
json,8,gin,250267.70,1.96,0.725,5.30,14.95,28835.8
json,9,gin,250554.16,1.99,0.731,5.44,15.23,28876.8
json,10,gin,249849.18,2.01,0.72,5.53,15.33,28794.9
json,1,gofiber,218138.67,5.66,0.513,15.28,81.22,25139.2
json,2,gofiber,221104.32,3.81,0.512,11.34,43.90,25477.1
json,3,gofiber,218386.43,3.69,0.53,10.86,43.73,25169.9
json,4,gofiber,220666.34,4.07,0.517,12.29,47.01,25425.9
json,5,gofiber,218792.07,3.56,0.526,10.65,40.96,25210.9
json,6,gofiber,220955.38,4.18,0.521,12.43,51.24,25456.6
json,7,gofiber,219750.64,3.86,0.523,11.61,45.82,25323.5
json,8,gofiber,221071.17,3.89,0.518,11.69,45.50,25477.1
json,9,gofiber,221120.79,4.25,0.514,12.53,52.22,25477.1
json,10,gofiber,221747.68,3.81,0.519,11.67,44.10,25548.8
