scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
middleware,1,flash,267148.79,1.58,0.64,4.23,10.30,43827.2
middleware,2,flash,264561.54,1.66,0.64,4.41,11.47,43407.4
middleware,3,flash,269007.57,1.54,0.657,4.10,10.22,44134.4
middleware,4,flash,261984.56,1.65,0.666,4.39,11.14,42977.3
middleware,5,flash,267804.04,1.57,0.643,4.21,10.34,43939.8
middleware,6,flash,267799.81,1.55,0.648,4.15,10.04,43939.8
middleware,7,flash,268015.35,1.58,0.651,4.22,10.62,43970.6
middleware,8,flash,267289.63,1.59,0.649,4.25,10.55,43847.7
middleware,9,flash,268347.81,1.59,0.644,4.24,10.60,44021.8
middleware,10,flash,265587.93,1.61,0.655,4.26,10.92,43571.2
middleware,1,gin,248237.00,1.69,0.625,4.77,10.41,35153.9
middleware,2,gin,247524.46,1.72,0.613,4.82,10.90,35051.5
middleware,3,gin,248458.67,1.72,0.612,4.87,10.73,35184.6
middleware,4,gin,243350.00,1.74,0.611,4.89,10.88,34457.6
middleware,5,gin,248218.48,1.71,0.611,4.79,10.75,35143.7
middleware,6,gin,249758.66,1.73,0.6,4.89,10.85,35369
middleware,7,gin,246835.10,1.72,0.603,4.89,10.69,34949.1
middleware,8,gin,243773.28,1.73,0.597,4.93,10.54,34519
middleware,9,gin,244412.55,1.73,0.603,4.90,10.47,34611.2
middleware,10,gin,245982.64,1.73,0.603,4.85,10.65,34836.5
middleware,1,gofiber,210360.89,3.10,0.554,6.47,47.39,29788.2
middleware,2,gofiber,209473.44,4.84,0.547,8.47,87.81,29665.3
middleware,3,gofiber,212219.12,3.49,0.541,7.51,55.39,30054.4
middleware,4,gofiber,209974.82,3.03,0.557,6.10,47.10,29737
middleware,5,gofiber,210994.01,3.13,0.56,6.70,47.84,29880.3
middleware,6,gofiber,210551.37,2.97,0.55,6.26,45.58,29818.9
middleware,7,gofiber,210899.77,3.05,0.544,6.43,45.73,29859.8
middleware,8,gofiber,210993.70,3.05,0.555,6.40,46.86,29880.3
middleware,9,gofiber,212857.53,4.14,0.528,8.65,68.72,30136.3
middleware,10,gofiber,210158.30,2.84,0.556,5.88,43.21,29757.4
