scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
mw10,1,flash,249712.14,1.69,0.589,4.81,10.10,29265.9
mw10,2,flash,246877.50,1.70,0.603,4.84,10.23,28928
mw10,3,flash,250529.21,1.71,0.59,4.85,10.57,29358.1
mw10,4,flash,250123.49,1.71,0.609,4.85,10.82,29306.9
mw10,5,flash,250282.07,1.70,0.583,4.84,10.52,29327.4
mw10,6,flash,250369.81,1.72,0.588,4.91,10.69,29337.6
mw10,7,flash,249464.05,1.70,0.582,4.85,10.22,29235.2
mw10,8,flash,248521.02,1.78,0.594,5.01,11.58,29122.6
mw10,9,flash,250848.87,1.69,0.595,4.83,10.43,29399
mw10,10,flash,251164.92,1.69,0.617,4.79,10.68,29429.8
mw10,1,gin,241221.20,1.85,0.549,5.49,11.33,28272.6
mw10,2,gin,243702.92,1.82,0.554,5.42,11.02,28559.4
mw10,3,gin,237404.15,1.83,0.565,5.46,11.15,27822.1
mw10,4,gin,240734.17,1.82,0.558,5.41,11.23,28211.2
mw10,5,gin,238209.25,1.84,0.57,5.49,11.21,27914.2
mw10,6,gin,236561.61,1.84,0.56,5.49,11.06,27719.7
mw10,7,gin,237600.75,1.82,0.554,5.44,10.96,27842.6
mw10,8,gin,238264.75,1.85,0.566,5.48,11.27,27924.5
mw10,9,gin,237349.09,1.95,0.58,5.66,12.83,27811.8
mw10,10,gin,242154.79,1.79,0.563,5.36,10.80,28375
mw10,1,gofiber,211416.61,3.12,0.532,6.99,46.47,29941.8
mw10,2,gofiber,211819.72,3.07,0.536,6.88,46.36,29993
mw10,3,gofiber,211943.92,3.16,0.534,7.14,47.23,30013.4
mw10,4,gofiber,213602.66,3.92,0.519,8.36,64.25,30249
mw10,5,gofiber,212727.18,3.12,0.528,7.00,47.11,30126.1
mw10,6,gofiber,212714.06,3.28,0.53,7.38,49.51,30115.8
mw10,7,gofiber,211454.94,3.12,0.532,6.98,46.52,29941.8
mw10,8,gofiber,211915.65,2.99,0.536,6.56,44.52,30003.2
mw10,9,gofiber,212688.75,3.27,0.527,7.45,49.16,30115.8
mw10,10,gofiber,214447.44,4.94,0.504,10.45,85.09,30361.6
