scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
param,1,flash,246987.27,1.73,0.595,4.91,10.70,29429.8
param,2,flash,242552.39,1.71,0.609,4.86,10.44,28897.3
param,3,flash,240279.90,1.87,0.624,5.20,12.76,28631
param,4,flash,244923.17,1.68,0.6,4.79,10.08,29184
param,5,flash,249015.77,1.70,0.592,4.82,10.41,29665.3
param,6,flash,250567.02,1.70,0.61,4.79,10.85,29849.6
param,7,flash,245496.96,1.68,0.604,4.80,10.05,29245.4
param,8,flash,247993.50,1.69,0.596,4.82,10.31,29542.4
param,9,flash,246752.43,1.71,0.597,4.82,10.46,29399
param,10,flash,244798.75,1.70,0.603,4.81,10.26,29163.5
param,1,gin,236256.47,1.79,0.58,5.34,10.48,28149.8
param,2,gin,235587.09,1.84,0.566,5.42,11.03,28067.8
param,3,gin,237532.98,1.82,0.572,5.43,11.01,28303.4
param,4,gin,239792.59,1.87,0.563,5.50,11.71,28569.6
param,5,gin,236111.30,1.82,0.565,5.44,10.73,28129.3
param,6,gin,234705.72,1.83,0.569,5.45,10.93,27965.4
param,7,gin,235165.79,1.85,0.578,5.47,11.33,28016.6
param,8,gin,235623.98,1.85,0.577,5.46,11.22,28067.8
param,9,gin,236452.79,1.80,0.568,5.37,10.71,28170.2
param,10,gin,234514.96,1.81,0.574,5.42,10.64,27945
param,1,gofiber,210310.25,2.85,0.559,5.73,43.84,25057.3
param,2,gofiber,210852.70,2.83,0.56,5.85,42.89,25118.7
param,3,gofiber,210547.53,2.84,0.563,5.79,43.31,25088
param,4,gofiber,211572.24,2.89,0.557,5.96,44.51,25210.9
param,5,gofiber,211922.89,3.10,0.561,6.52,48.53,25251.8
param,6,gofiber,211783.21,2.95,0.559,6.14,45.21,25231.4
param,7,gofiber,210794.60,3.06,0.561,6.28,46.92,25118.7
param,8,gofiber,211821.06,2.98,0.558,6.15,46.22,25241.6
param,9,gofiber,212195.56,2.95,0.56,6.36,43.82,25282.6
param,10,gofiber,211289.66,3.02,0.558,6.25,46.42,25169.9
