scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
simple,1,flash,240461.05,1.74,0.592,4.95,10.31,28180.5
simple,2,flash,245232.06,1.75,0.601,4.95,10.99,28733.4
simple,3,flash,240504.66,1.68,0.602,4.82,9.91,28180.5
simple,4,flash,238130.72,1.71,0.609,4.88,10.11,27904
simple,5,flash,241736.48,1.72,0.603,4.92,10.28,28323.8
simple,6,flash,240789.30,1.71,0.6,4.90,10.17,28221.4
simple,7,flash,236074.56,1.87,0.631,5.08,12.82,27668.5
simple,8,flash,240622.81,1.71,0.605,4.88,10.25,28201
simple,9,flash,240667.22,1.69,0.6,4.83,9.79,28201
simple,10,flash,243677.91,1.67,0.613,4.77,9.86,28559.4
simple,1,gin,230959.69,1.82,0.586,5.42,10.73,27064.3
simple,2,gin,232951.34,1.82,0.576,5.42,10.87,27299.8
simple,3,gin,230672.67,1.82,0.576,5.45,10.63,27033.6
simple,4,gin,230429.51,1.84,0.586,5.48,11.02,27002.9
simple,5,gin,231608.12,1.88,0.57,5.56,11.46,27146.2
simple,6,gin,231385.84,1.81,0.581,5.43,10.49,27115.5
simple,7,gin,229200.33,1.84,0.579,5.48,10.87,26859.5
simple,8,gin,232675.81,1.92,0.589,5.64,12.05,27269.1
simple,9,gin,230790.87,1.90,0.571,5.64,11.68,27043.8
simple,10,gin,231714.92,1.82,0.583,5.42,10.93,27156.5
simple,1,gofiber,208940.87,2.87,0.572,5.48,45.54,24483.8
simple,2,gofiber,208808.47,2.77,0.582,5.30,43.20,24473.6
simple,3,gofiber,209040.68,2.85,0.575,5.56,44.76,24494.1
simple,4,gofiber,207408.64,2.65,0.587,4.98,40.99,24309.8
simple,5,gofiber,210083.68,2.88,0.561,5.88,43.53,24617
simple,6,gofiber,210175.64,2.98,0.574,6.03,46.32,24627.2
simple,7,gofiber,208721.66,2.80,0.581,5.46,43.34,24463.4
simple,8,gofiber,211678.65,3.31,0.545,6.56,53.98,24801.3
simple,9,gofiber,209738.53,5.18,0.563,7.54,104.44,24576
simple,10,gofiber,209946.25,3.00,0.567,5.87,47.85,24606.7
