scenario,batch,framework,requests_per_sec,avg_ms,p50_ms,p90_ms,p99_ms,transfer_kbps
wildcard,1,flash,242238.39,1.87,0.653,5.10,12.90,32409.6
wildcard,2,flash,250962.18,1.73,0.626,4.81,11.18,33577
wildcard,3,flash,257847.71,1.76,0.634,4.87,11.86,34498.6
wildcard,4,flash,248324.01,1.76,0.623,4.88,11.42,33218.6
wildcard,5,flash,255473.51,1.72,0.609,4.82,11.11,34181.1
wildcard,6,flash,255546.34,1.77,0.613,4.86,11.74,34191.4
wildcard,7,flash,275975.19,1.64,0.646,4.52,11.69,36925.4
wildcard,8,flash,273463.62,1.66,0.661,4.55,12.02,36587.5
wildcard,9,flash,244961.30,1.88,0.624,5.15,12.60,32778.2
wildcard,10,flash,257611.90,1.77,0.623,4.93,11.92,34467.8
wildcard,1,gin,250184.11,1.86,0.577,5.39,12.09,33474.6
wildcard,2,gin,245466.20,1.79,0.571,5.32,10.93,32839.7
wildcard,3,gin,253706.27,1.84,0.56,5.36,12.00,33945.6
wildcard,4,gin,248476.53,1.90,0.643,5.42,13.07,33239
wildcard,5,gin,246221.37,2.09,0.68,5.85,15.96,32942.1
wildcard,6,gin,244944.79,1.85,0.568,5.37,11.53,32768
wildcard,7,gin,235239.40,2.10,0.62,5.88,15.00,31467.5
wildcard,8,gin,244296.84,2.00,0.605,5.64,13.84,32686.1
wildcard,9,gin,242366.61,1.96,0.587,5.63,12.59,32430.1
wildcard,10,gin,258227.21,1.80,0.554,5.27,11.77,34549.8
wildcard,1,gofiber,222396.17,4.78,0.446,11.69,75.56,29532.2
wildcard,2,gofiber,216584.08,6.30,0.47,13.30,113.05,28764.2
wildcard,3,gofiber,220459.25,4.05,0.463,10.04,62.30,29276.2
wildcard,4,gofiber,217909.66,4.67,0.465,10.68,76.35,28938.2
wildcard,5,gofiber,216700.37,5.58,0.471,12.55,94.79,28784.6
wildcard,6,gofiber,220388.13,3.72,0.467,9.04,57.16,29265.9
wildcard,7,gofiber,218346.64,3.69,0.473,8.79,57.52,28999.7
wildcard,8,gofiber,214399.37,4.51,0.49,9.94,75.24,28477.4
wildcard,9,gofiber,222368.16,4.78,0.449,12.18,75.98,29532.2
wildcard,10,gofiber,222531.67,4.13,0.437,10.61,62.85,29552.6
